VCC,V,C1,C1 Manner,C2,C2 Manner,SSP Status,Sonority Difference
UZHTH,U,ZH,Fricative,TH,Fricative,Violate,0
AZHDH,A,ZH,Fricative,DH,Fricative,Violate,0
EZHDH,E,ZH,Fricative,DH,Fricative,Violate,0
IZHDH,I,ZH,Fricative,DH,Fricative,Violate,0
OZHDH,O,ZH,Fricative,DH,Fricative,Violate,0
UZHDH,U,ZH,Fricative,DH,Fricative,Violate,0
AZHS,A,ZH,Fricative,S,Fricative,Violate,0
EZHS,E,ZH,Fricative,S,Fricative,Violate,0
IZHS,I,ZH,Fricative,S,Fricative,Violate,0
OZHS,O,ZH,Fricative,S,Fricative,Violate,0
UZHS,U,ZH,Fricative,S,Fricative,Violate,0
AZHZ,A,ZH,Fricative,Z,Fricative,Violate,0
EZHZ,E,ZH,Fricative,Z,Fricative,Violate,0
IZHZ,I,ZH,Fricative,Z,Fricative,Violate,0
OZHZ,O,ZH,Fricative,Z,Fricative,Violate,0
UZHZ,U,ZH,Fricative,Z,Fricative,Violate,0
AZHSH,A,ZH,Fricative,SH,Fricative,Violate,0
EZHSH,E,ZH,Fricative,SH,Fricative,Violate,0
IZHSH,I,ZH,Fricative,SH,Fricative,Violate,0
OZHSH,O,ZH,Fricative,SH,Fricative,Violate,0
UZHSH,U,ZH,Fricative,SH,Fricative,Violate,0
AZHH,A,ZH,Fricative,H,Fricative,Violate,0
EZHH,E,ZH,Fricative,H,Fricative,Violate,0
IZHH,I,ZH,Fricative,H,Fricative,Violate,0
OZHH,O,ZH,Fricative,H,Fricative,Violate,0
UZHH,U,ZH,Fricative,H,Fricative,Violate,0
AZHCH,A,ZH,Fricative,CH,Affricate,Violate,1
EZHCH,E,ZH,Fricative,CH,Affricate,Violate,1
IZHCH,I,ZH,Fricative,CH,Affricate,Violate,1
OZHCH,O,ZH,Fricative,CH,Affricate,Violate,1
UZHCH,U,ZH,Fricative,CH,Affricate,Violate,1
AZHJH,A,ZH,Fricative,JH,Affricate,Violate,1
EZHJH,E,ZH,Fricative,JH,Affricate,Violate,1
IZHJH,I,ZH,Fricative,JH,Affricate,Violate,1
OZHJH,O,ZH,Fricative,JH,Affricate,Violate,1
UZHJH,U,ZH,Fricative,JH,Affricate,Violate,1
AZHM,A,ZH,Fricative,M,Nasal,Violate,2
EZHM,E,ZH,Fricative,M,Nasal,Violate,2
IZHM,I,ZH,Fricative,M,Nasal,Violate,2
OZHM,O,ZH,Fricative,M,Nasal,Violate,2
UZHM,U,ZH,Fricative,M,Nasal,Violate,2
AZHN,A,ZH,Fricative,N,Nasal,Violate,2
EZHN,E,ZH,Fricative,N,Nasal,Violate,2
IZHN,I,ZH,Fricative,N,Nasal,Violate,2
OZHN,O,ZH,Fricative,N,Nasal,Violate,2
UZHN,U,ZH,Fricative,N,Nasal,Violate,2
AZHNG,A,ZH,Fricative,NG,Nasal,Violate,2
EZHNG,E,ZH,Fricative,NG,Nasal,Violate,2
IZHNG,I,ZH,Fricative,NG,Nasal,Violate,2
OZHNG,O,ZH,Fricative,NG,Nasal,Violate,2
UZHNG,U,ZH,Fricative,NG,Nasal,Violate,2
AZHL,A,ZH,Fricative,L,Liquid,Violate,3
EZHL,E,ZH,Fricative,L,Liquid,Violate,3
IZHL,I,ZH,Fricative,L,Liquid,Violate,3
OZHL,O,ZH,Fricative,L,Liquid,Violate,3
UZHL,U,ZH,Fricative,L,Liquid,Violate,3
AZHR,A,ZH,Fricative,R,Liquid,Violate,3
EZHR,E,ZH,Fricative,R,Liquid,Violate,3
IZHR,I,ZH,Fricative,R,Liquid,Violate,3
OZHR,O,ZH,Fricative,R,Liquid,Violate,3
UZHR,U,ZH,Fricative,R,Liquid,Violate,3
AZHY,A,ZH,Fricative,Y,Glide,Violate,4
EZHY,E,ZH,Fricative,Y,Glide,Violate,4
IZHY,I,ZH,Fricative,Y,Glide,Violate,4
OZHY,O,ZH,Fricative,Y,Glide,Violate,4
UZHY,U,ZH,Fricative,Y,Glide,Violate,4
AZHW,A,ZH,Fricative,W,Glide,Violate,4
EZHW,E,ZH,Fricative,W,Glide,Violate,4
IZHW,I,ZH,Fricative,W,Glide,Violate,4
OZHW,O,ZH,Fricative,W,Glide,Violate,4
UZHW,U,ZH,Fricative,W,Glide,Violate,4
AHF,A,H,Fricative,F,Fricative,Violate,0
EHF,E,H,Fricative,F,Fricative,Violate,0
IHF,I,H,Fricative,F,Fricative,Violate,0
OHF,O,H,Fricative,F,Fricative,Violate,0
UHF,U,H,Fricative,F,Fricative,Violate,0
AHV,A,H,Fricative,V,Fricative,Violate,0
EHV,E,H,Fricative,V,Fricative,Violate,0
IHV,I,H,Fricative,V,Fricative,Violate,0
OHV,O,H,Fricative,V,Fricative,Violate,0
UHV,U,H,Fricative,V,Fricative,Violate,0
AHTH,A,H,Fricative,TH,Fricative,Violate,0
EHTH,E,H,Fricative,TH,Fricative,Violate,0
IHTH,I,H,Fricative,TH,Fricative,Violate,0
OHTH,O,H,Fricative,TH,Fricative,Violate,0
UHTH,U,H,Fricative,TH,Fricative,Violate,0
AHDH,A,H,Fricative,DH,Fricative,Violate,0
EHDH,E,H,Fricative,DH,Fricative,Violate,0
IHDH,I,H,Fricative,DH,Fricative,Violate,0
OHDH,O,H,Fricative,DH,Fricative,Violate,0
UHDH,U,H,Fricative,DH,Fricative,Violate,0
AHS,A,H,Fricative,S,Fricative,Violate,0
EHS,E,H,Fricative,S,Fricative,Violate,0
IHS,I,H,Fricative,S,Fricative,Violate,0
OHS,O,H,Fricative,S,Fricative,Violate,0
UHS,U,H,Fricative,S,Fricative,Violate,0
AHZ,A,H,Fricative,Z,Fricative,Violate,0
EHZ,E,H,Fricative,Z,Fricative,Violate,0
IHZ,I,H,Fricative,Z,Fricative,Violate,0
OHZ,O,H,Fricative,Z,Fricative,Violate,0
UHZ,U,H,Fricative,Z,Fricative,Violate,0
AHSH,A,H,Fricative,SH,Fricative,Violate,0
EHSH,E,H,Fricative,SH,Fricative,Violate,0
IHSH,I,H,Fricative,SH,Fricative,Violate,0
OHSH,O,H,Fricative,SH,Fricative,Violate,0
UHSH,U,H,Fricative,SH,Fricative,Violate,0
AHZH,A,H,Fricative,ZH,Fricative,Violate,0
EHZH,E,H,Fricative,ZH,Fricative,Violate,0
IHZH,I,H,Fricative,ZH,Fricative,Violate,0
OHZH,O,H,Fricative,ZH,Fricative,Violate,0
UHZH,U,H,Fricative,ZH,Fricative,Violate,0
AHCH,A,H,Fricative,CH,Affricate,Violate,1
EHCH,E,H,Fricative,CH,Affricate,Violate,1
IHCH,I,H,Fricative,CH,Affricate,Violate,1
OHCH,O,H,Fricative,CH,Affricate,Violate,1
UHCH,U,H,Fricative,CH,Affricate,Violate,1
AHJH,A,H,Fricative,JH,Affricate,Violate,1
EHJH,E,H,Fricative,JH,Affricate,Violate,1
IHJH,I,H,Fricative,JH,Affricate,Violate,1
OHJH,O,H,Fricative,JH,Affricate,Violate,1
UHJH,U,H,Fricative,JH,Affricate,Violate,1
AHM,A,H,Fricative,M,Nasal,Violate,2
EHM,E,H,Fricative,M,Nasal,Violate,2
IHM,I,H,Fricative,M,Nasal,Violate,2
OHM,O,H,Fricative,M,Nasal,Violate,2
UHM,U,H,Fricative,M,Nasal,Violate,2
AHN,A,H,Fricative,N,Nasal,Violate,2
EHN,E,H,Fricative,N,Nasal,Violate,2
IHN,I,H,Fricative,N,Nasal,Violate,2
OHN,O,H,Fricative,N,Nasal,Violate,2
UHN,U,H,Fricative,N,Nasal,Violate,2
AHNG,A,H,Fricative,NG,Nasal,Violate,2
EHNG,E,H,Fricative,NG,Nasal,Violate,2
IHNG,I,H,Fricative,NG,Nasal,Violate,2
OHNG,O,H,Fricative,NG,Nasal,Violate,2
UHNG,U,H,Fricative,NG,Nasal,Violate,2
AHL,A,H,Fricative,L,Liquid,Violate,3
EHL,E,H,Fricative,L,Liquid,Violate,3
IHL,I,H,Fricative,L,Liquid,Violate,3
OHL,O,H,Fricative,L,Liquid,Violate,3
UHL,U,H,Fricative,L,Liquid,Violate,3
AHR,A,H,Fricative,R,Liquid,Violate,3
EHR,E,H,Fricative,R,Liquid,Violate,3
IHR,I,H,Fricative,R,Liquid,Violate,3
OHR,O,H,Fricative,R,Liquid,Violate,3
UHR,U,H,Fricative,R,Liquid,Violate,3
AHY,A,H,Fricative,Y,Glide,Violate,4
EHY,E,H,Fricative,Y,Glide,Violate,4
IHY,I,H,Fricative,Y,Glide,Violate,4
OHY,O,H,Fricative,Y,Glide,Violate,4
UHY,U,H,Fricative,Y,Glide,Violate,4
AHW,A,H,Fricative,W,Glide,Violate,4
EHW,E,H,Fricative,W,Glide,Violate,4
IHW,I,H,Fricative,W,Glide,Violate,4
OHW,O,H,Fricative,W,Glide,Violate,4
UHW,U,H,Fricative,W,Glide,Violate,4
ACHJH,A,CH,Affricate,JH,Affricate,Violate,0
ECHJH,E,CH,Affricate,JH,Affricate,Violate,0
ICHJH,I,CH,Affricate,JH,Affricate,Violate,0
OCHJH,O,CH,Affricate,JH,Affricate,Violate,0
UCHJH,U,CH,Affricate,JH,Affricate,Violate,0
ACHM,A,CH,Affricate,M,Nasal,Violate,1
ECHM,E,CH,Affricate,M,Nasal,Violate,1
ICHM,I,CH,Affricate,M,Nasal,Violate,1
OCHM,O,CH,Affricate,M,Nasal,Violate,1
UCHM,U,CH,Affricate,M,Nasal,Violate,1
ACHN,A,CH,Affricate,N,Nasal,Violate,1
ECHN,E,CH,Affricate,N,Nasal,Violate,1
ICHN,I,CH,Affricate,N,Nasal,Violate,1
OCHN,O,CH,Affricate,N,Nasal,Violate,1
UCHN,U,CH,Affricate,N,Nasal,Violate,1
ACHNG,A,CH,Affricate,NG,Nasal,Violate,1
ECHNG,E,CH,Affricate,NG,Nasal,Violate,1
ICHNG,I,CH,Affricate,NG,Nasal,Violate,1
OCHNG,O,CH,Affricate,NG,Nasal,Violate,1
UCHNG,U,CH,Affricate,NG,Nasal,Violate,1
ACHL,A,CH,Affricate,L,Liquid,Violate,2
ECHL,E,CH,Affricate,L,Liquid,Violate,2
ICHL,I,CH,Affricate,L,Liquid,Violate,2
OCHL,O,CH,Affricate,L,Liquid,Violate,2
UCHL,U,CH,Affricate,L,Liquid,Violate,2
ACHR,A,CH,Affricate,R,Liquid,Violate,2
ECHR,E,CH,Affricate,R,Liquid,Violate,2
ICHR,I,CH,Affricate,R,Liquid,Violate,2
OCHR,O,CH,Affricate,R,Liquid,Violate,2
UCHR,U,CH,Affricate,R,Liquid,Violate,2
ACHY,A,CH,Affricate,Y,Glide,Violate,3
ECHY,E,CH,Affricate,Y,Glide,Violate,3
ICHY,I,CH,Affricate,Y,Glide,Violate,3
OCHY,O,CH,Affricate,Y,Glide,Violate,3
UCHY,U,CH,Affricate,Y,Glide,Violate,3
ACHW,A,CH,Affricate,W,Glide,Violate,3
ECHW,E,CH,Affricate,W,Glide,Violate,3
ICHW,I,CH,Affricate,W,Glide,Violate,3
OCHW,O,CH,Affricate,W,Glide,Violate,3
UCHW,U,CH,Affricate,W,Glide,Violate,3
AJHCH,A,JH,Affricate,CH,Affricate,Violate,0
EJHCH,E,JH,Affricate,CH,Affricate,Violate,0
IJHCH,I,JH,Affricate,CH,Affricate,Violate,0
OJHCH,O,JH,Affricate,CH,Affricate,Violate,0
UJHCH,U,JH,Affricate,CH,Affricate,Violate,0
AJHM,A,JH,Affricate,M,Nasal,Violate,1
EJHM,E,JH,Affricate,M,Nasal,Violate,1
IJHM,I,JH,Affricate,M,Nasal,Violate,1
OJHM,O,JH,Affricate,M,Nasal,Violate,1
UJHM,U,JH,Affricate,M,Nasal,Violate,1
AJHN,A,JH,Affricate,N,Nasal,Violate,1
EJHN,E,JH,Affricate,N,Nasal,Violate,1
IJHN,I,JH,Affricate,N,Nasal,Violate,1
OJHN,O,JH,Affricate,N,Nasal,Violate,1
UJHN,U,JH,Affricate,N,Nasal,Violate,1
AJHNG,A,JH,Affricate,NG,Nasal,Violate,1
EJHNG,E,JH,Affricate,NG,Nasal,Violate,1
IJHNG,I,JH,Affricate,NG,Nasal,Violate,1
OJHNG,O,JH,Affricate,NG,Nasal,Violate,1
UJHNG,U,JH,Affricate,NG,Nasal,Violate,1
AJHL,A,JH,Affricate,L,Liquid,Violate,2
EJHL,E,JH,Affricate,L,Liquid,Violate,2
IJHL,I,JH,Affricate,L,Liquid,Violate,2
OJHL,O,JH,Affricate,L,Liquid,Violate,2
UJHL,U,JH,Affricate,L,Liquid,Violate,2
AJHR,A,JH,Affricate,R,Liquid,Violate,2
EJHR,E,JH,Affricate,R,Liquid,Violate,2
IJHR,I,JH,Affricate,R,Liquid,Violate,2
OJHR,O,JH,Affricate,R,Liquid,Violate,2
UJHR,U,JH,Affricate,R,Liquid,Violate,2
AJHY,A,JH,Affricate,Y,Glide,Violate,3
EJHY,E,JH,Affricate,Y,Glide,Violate,3
IJHY,I,JH,Affricate,Y,Glide,Violate,3
OJHY,O,JH,Affricate,Y,Glide,Violate,3
UJHY,U,JH,Affricate,Y,Glide,Violate,3
AJHW,A,JH,Affricate,W,Glide,Violate,3
EJHW,E,JH,Affricate,W,Glide,Violate,3
IJHW,I,JH,Affricate,W,Glide,Violate,3
OJHW,O,JH,Affricate,W,Glide,Violate,3
UJHW,U,JH,Affricate,W,Glide,Violate,3
AMN,A,M,Nasal,N,Nasal,Violate,0
EMN,E,M,Nasal,N,Nasal,Violate,0
IMN,I,M,Nasal,N,Nasal,Violate,0
OMN,O,M,Nasal,N,Nasal,Violate,0
UMN,U,M,Nasal,N,Nasal,Violate,0
AMNG,A,M,Nasal,NG,Nasal,Violate,0
EMNG,E,M,Nasal,NG,Nasal,Violate,0
IMNG,I,M,Nasal,NG,Nasal,Violate,0
OMNG,O,M,Nasal,NG,Nasal,Violate,0
UMNG,U,M,Nasal,NG,Nasal,Violate,0
AML,A,M,Nasal,L,Liquid,Violate,1
EML,E,M,Nasal,L,Liquid,Violate,1
IML,I,M,Nasal,L,Liquid,Violate,1
OML,O,M,Nasal,L,Liquid,Violate,1
UML,U,M,Nasal,L,Liquid,Violate,1
AMR,A,M,Nasal,R,Liquid,Violate,1
EMR,E,M,Nasal,R,Liquid,Violate,1
IMR,I,M,Nasal,R,Liquid,Violate,1
OMR,O,M,Nasal,R,Liquid,Violate,1
UMR,U,M,Nasal,R,Liquid,Violate,1
AMY,A,M,Nasal,Y,Glide,Violate,2
EMY,E,M,Nasal,Y,Glide,Violate,2
IMY,I,M,Nasal,Y,Glide,Violate,2
OMY,O,M,Nasal,Y,Glide,Violate,2
UMY,U,M,Nasal,Y,Glide,Violate,2
AMW,A,M,Nasal,W,Glide,Violate,2
EMW,E,M,Nasal,W,Glide,Violate,2
IMW,I,M,Nasal,W,Glide,Violate,2
OMW,O,M,Nasal,W,Glide,Violate,2
UMW,U,M,Nasal,W,Glide,Violate,2
ANM,A,N,Nasal,M,Nasal,Violate,0
ENM,E,N,Nasal,M,Nasal,Violate,0
INM,I,N,Nasal,M,Nasal,Violate,0
ONM,O,N,Nasal,M,Nasal,Violate,0
UNM,U,N,Nasal,M,Nasal,Violate,0
ANNG,A,N,Nasal,NG,Nasal,Violate,0
ENNG,E,N,Nasal,NG,Nasal,Violate,0
INNG,I,N,Nasal,NG,Nasal,Violate,0
ONNG,O,N,Nasal,NG,Nasal,Violate,0
UNNG,U,N,Nasal,NG,Nasal,Violate,0
ANL,A,N,Nasal,L,Liquid,Violate,1
ENL,E,N,Nasal,L,Liquid,Violate,1
INL,I,N,Nasal,L,Liquid,Violate,1
ONL,O,N,Nasal,L,Liquid,Violate,1
UNL,U,N,Nasal,L,Liquid,Violate,1
ANR,A,N,Nasal,R,Liquid,Violate,1
ENR,E,N,Nasal,R,Liquid,Violate,1
INR,I,N,Nasal,R,Liquid,Violate,1
ONR,O,N,Nasal,R,Liquid,Violate,1
UNR,U,N,Nasal,R,Liquid,Violate,1
ANY,A,N,Nasal,Y,Glide,Violate,2
ENY,E,N,Nasal,Y,Glide,Violate,2
INY,I,N,Nasal,Y,Glide,Violate,2
ONY,O,N,Nasal,Y,Glide,Violate,2
UNY,U,N,Nasal,Y,Glide,Violate,2
ANW,A,N,Nasal,W,Glide,Violate,2
ENW,E,N,Nasal,W,Glide,Violate,2
INW,I,N,Nasal,W,Glide,Violate,2
ONW,O,N,Nasal,W,Glide,Violate,2
UNW,U,N,Nasal,W,Glide,Violate,2
ANGM,A,NG,Nasal,M,Nasal,Violate,0
ENGM,E,NG,Nasal,M,Nasal,Violate,0
INGM,I,NG,Nasal,M,Nasal,Violate,0
ONGM,O,NG,Nasal,M,Nasal,Violate,0
UNGM,U,NG,Nasal,M,Nasal,Violate,0
ANGN,A,NG,Nasal,N,Nasal,Violate,0
ENGN,E,NG,Nasal,N,Nasal,Violate,0
INGN,I,NG,Nasal,N,Nasal,Violate,0
ONGN,O,NG,Nasal,N,Nasal,Violate,0
UNGN,U,NG,Nasal,N,Nasal,Violate,0
ANGL,A,NG,Nasal,L,Liquid,Violate,1
ENGL,E,NG,Nasal,L,Liquid,Violate,1
INGL,I,NG,Nasal,L,Liquid,Violate,1
ONGL,O,NG,Nasal,L,Liquid,Violate,1
UNGL,U,NG,Nasal,L,Liquid,Violate,1
ANGR,A,NG,Nasal,R,Liquid,Violate,1
ENGR,E,NG,Nasal,R,Liquid,Violate,1
INGR,I,NG,Nasal,R,Liquid,Violate,1
ONGR,O,NG,Nasal,R,Liquid,Violate,1
UNGR,U,NG,Nasal,R,Liquid,Violate,1
ANGY,A,NG,Nasal,Y,Glide,Violate,2
ENGY,E,NG,Nasal,Y,Glide,Violate,2
INGY,I,NG,Nasal,Y,Glide,Violate,2
ONGY,O,NG,Nasal,Y,Glide,Violate,2
UNGY,U,NG,Nasal,Y,Glide,Violate,2
ANGW,A,NG,Nasal,W,Glide,Violate,2
ENGW,E,NG,Nasal,W,Glide,Violate,2
INGW,I,NG,Nasal,W,Glide,Violate,2
ONGW,O,NG,Nasal,W,Glide,Violate,2
UNGW,U,NG,Nasal,W,Glide,Violate,2
ALR,A,L,Liquid,R,Liquid,Violate,0
ELR,E,L,Liquid,R,Liquid,Violate,0
ILR,I,L,Liquid,R,Liquid,Violate,0
OLR,O,L,Liquid,R,Liquid,Violate,0
ULR,U,L,Liquid,R,Liquid,Violate,0
ALY,A,L,Liquid,Y,Glide,Violate,1
ELY,E,L,Liquid,Y,Glide,Violate,1
ILY,I,L,Liquid,Y,Glide,Violate,1
OLY,O,L,Liquid,Y,Glide,Violate,1
ULY,U,L,Liquid,Y,Glide,Violate,1
ALW,A,L,Liquid,W,Glide,Violate,1
ELW,E,L,Liquid,W,Glide,Violate,1
ILW,I,L,Liquid,W,Glide,Violate,1
OLW,O,L,Liquid,W,Glide,Violate,1
ULW,U,L,Liquid,W,Glide,Violate,1
ARL,A,R,Liquid,L,Liquid,Violate,0
ERL,E,R,Liquid,L,Liquid,Violate,0
IRL,I,R,Liquid,L,Liquid,Violate,0
ORL,O,R,Liquid,L,Liquid,Violate,0
URL,U,R,Liquid,L,Liquid,Violate,0
ARY,A,R,Liquid,Y,Glide,Violate,1
ERY,E,R,Liquid,Y,Glide,Violate,1
IRY,I,R,Liquid,Y,Glide,Violate,1
ORY,O,R,Liquid,Y,Glide,Violate,1
URY,U,R,Liquid,Y,Glide,Violate,1
ARW,A,R,Liquid,W,Glide,Violate,1
ERW,E,R,Liquid,W,Glide,Violate,1
IRW,I,R,Liquid,W,Glide,Violate,1
ORW,O,R,Liquid,W,Glide,Violate,1
URW,U,R,Liquid,W,Glide,Violate,1
AYW,A,Y,Glide,W,Glide,Violate,0
EYW,E,Y,Glide,W,Glide,Violate,0
IYW,I,Y,Glide,W,Glide,Violate,0
OYW,O,Y,Glide,W,Glide,Violate,0
UYW,U,Y,Glide,W,Glide,Violate,0
AWY,A,W,Glide,Y,Glide,Violate,0
EWY,E,W,Glide,Y,Glide,Violate,0
IWY,I,W,Glide,Y,Glide,Violate,0
OWY,O,W,Glide,Y,Glide,Violate,0
UWY,U,W,Glide,Y,Glide,Violate,0
