CCV,C1,C1 Manner,C2,C2 Manner,V,SSP Status,Sonority Difference
PBA,P,Plosive,B,Plosive,A,Follow,0
PBE,P,Plosive,B,Plosive,E,Follow,0
PBI,P,Plosive,B,Plosive,I,Follow,0
PBO,P,Plosive,B,Plosive,O,Follow,0
PBU,P,Plosive,B,Plosive,U,Follow,0
PTA,P,Plosive,T,Plosive,A,Follow,0
PTE,P,Plosive,T,Plosive,E,Follow,0
PTI,P,Plosive,T,Plosive,I,Follow,0
PTO,P,Plosive,T,Plosive,O,Follow,0
PTU,P,Plosive,T,Plosive,U,Follow,0
PDA,P,Plosive,D,Plosive,A,Follow,0
PDE,P,Plosive,D,Plosive,E,Follow,0
PDI,P,Plosive,D,Plosive,I,Follow,0
PDO,P,Plosive,D,Plosive,O,Follow,0
PDU,P,Plosive,D,Plosive,U,Follow,0
PKA,P,Plosive,K,Plosive,A,Follow,0
PKE,P,Plosive,K,Plosive,E,Follow,0
PKI,P,Plosive,K,Plosive,I,Follow,0
PKO,P,Plosive,K,Plosive,O,Follow,0
PKU,P,Plosive,K,Plosive,U,Follow,0
PGA,P,Plosive,G,Plosive,A,Follow,0
PGE,P,Plosive,G,Plosive,E,Follow,0
PGI,P,Plosive,G,Plosive,I,Follow,0
PGO,P,Plosive,G,Plosive,O,Follow,0
PGU,P,Plosive,G,Plosive,U,Follow,0
PQA,P,Plosive,Q,Plosive,A,Follow,0
PQE,P,Plosive,Q,Plosive,E,Follow,0
PQI,P,Plosive,Q,Plosive,I,Follow,0
PQO,P,Plosive,Q,Plosive,O,Follow,0
PQU,P,Plosive,Q,Plosive,U,Follow,0
PFA,P,Plosive,F,Fricative,A,Follow,1
PFE,P,Plosive,F,Fricative,E,Follow,1
PFI,P,Plosive,F,Fricative,I,Follow,1
PFO,P,Plosive,F,Fricative,O,Follow,1
PFU,P,Plosive,F,Fricative,U,Follow,1
PVA,P,Plosive,V,Fricative,A,Follow,1
PVE,P,Plosive,V,Fricative,E,Follow,1
PVI,P,Plosive,V,Fricative,I,Follow,1
PVO,P,Plosive,V,Fricative,O,Follow,1
PVU,P,Plosive,V,Fricative,U,Follow,1
PTHA,P,Plosive,TH,Fricative,A,Follow,1
PTHE,P,Plosive,TH,Fricative,E,Follow,1
PTHI,P,Plosive,TH,Fricative,I,Follow,1
PTHO,P,Plosive,TH,Fricative,O,Follow,1
PTHU,P,Plosive,TH,Fricative,U,Follow,1
PDHA,P,Plosive,DH,Fricative,A,Follow,1
PDHE,P,Plosive,DH,Fricative,E,Follow,1
PDHI,P,Plosive,DH,Fricative,I,Follow,1
PDHO,P,Plosive,DH,Fricative,O,Follow,1
PDHU,P,Plosive,DH,Fricative,U,Follow,1
PSA,P,Plosive,S,Fricative,A,Follow,1
PSE,P,Plosive,S,Fricative,E,Follow,1
PSI,P,Plosive,S,Fricative,I,Follow,1
PSO,P,Plosive,S,Fricative,O,Follow,1
PSU,P,Plosive,S,Fricative,U,Follow,1
PZA,P,Plosive,Z,Fricative,A,Follow,1
PZE,P,Plosive,Z,Fricative,E,Follow,1
PZI,P,Plosive,Z,Fricative,I,Follow,1
PZO,P,Plosive,Z,Fricative,O,Follow,1
PZU,P,Plosive,Z,Fricative,U,Follow,1
PSHA,P,Plosive,SH,Fricative,A,Follow,1
PSHE,P,Plosive,SH,Fricative,E,Follow,1
PSHI,P,Plosive,SH,Fricative,I,Follow,1
PSHO,P,Plosive,SH,Fricative,O,Follow,1
PSHU,P,Plosive,SH,Fricative,U,Follow,1
PZHA,P,Plosive,ZH,Fricative,A,Follow,1
PZHE,P,Plosive,ZH,Fricative,E,Follow,1
PZHI,P,Plosive,ZH,Fricative,I,Follow,1
PZHO,P,Plosive,ZH,Fricative,O,Follow,1
PZHU,P,Plosive,ZH,Fricative,U,Follow,1
PHA,P,Plosive,H,Fricative,A,Follow,1
PHE,P,Plosive,H,Fricative,E,Follow,1
PHI,P,Plosive,H,Fricative,I,Follow,1
PHO,P,Plosive,H,Fricative,O,Follow,1
PHU,P,Plosive,H,Fricative,U,Follow,1
PCHA,P,Plosive,CH,Affricate,A,Follow,2
PCHE,P,Plosive,CH,Affricate,E,Follow,2
PCHI,P,Plosive,CH,Affricate,I,Follow,2
PCHO,P,Plosive,CH,Affricate,O,Follow,2
PCHU,P,Plosive,CH,Affricate,U,Follow,2
PJHA,P,Plosive,JH,Affricate,A,Follow,2
PJHE,P,Plosive,JH,Affricate,E,Follow,2
PJHI,P,Plosive,JH,Affricate,I,Follow,2
PJHO,P,Plosive,JH,Affricate,O,Follow,2
PJHU,P,Plosive,JH,Affricate,U,Follow,2
PMA,P,Plosive,M,Nasal,A,Follow,3
PME,P,Plosive,M,Nasal,E,Follow,3
PMI,P,Plosive,M,Nasal,I,Follow,3
PMO,P,Plosive,M,Nasal,O,Follow,3
PMU,P,Plosive,M,Nasal,U,Follow,3
PNA,P,Plosive,N,Nasal,A,Follow,3
PNE,P,Plosive,N,Nasal,E,Follow,3
PNI,P,Plosive,N,Nasal,I,Follow,3
PNO,P,Plosive,N,Nasal,O,Follow,3
PNU,P,Plosive,N,Nasal,U,Follow,3
PNGA,P,Plosive,NG,Nasal,A,Follow,3
PNGE,P,Plosive,NG,Nasal,E,Follow,3
PNGI,P,Plosive,NG,Nasal,I,Follow,3
PNGO,P,Plosive,NG,Nasal,O,Follow,3
PNGU,P,Plosive,NG,Nasal,U,Follow,3
PLA,P,Plosive,L,Liquid,A,Follow,4
PLE,P,Plosive,L,Liquid,E,Follow,4
PLI,P,Plosive,L,Liquid,I,Follow,4
PLO,P,Plosive,L,Liquid,O,Follow,4
PLU,P,Plosive,L,Liquid,U,Follow,4
PRA,P,Plosive,R,Liquid,A,Follow,4
PRE,P,Plosive,R,Liquid,E,Follow,4
PRI,P,Plosive,R,Liquid,I,Follow,4
PRO,P,Plosive,R,Liquid,O,Follow,4
PRU,P,Plosive,R,Liquid,U,Follow,4
PYA,P,Plosive,Y,Glide,A,Follow,5
PYE,P,Plosive,Y,Glide,E,Follow,5
PYI,P,Plosive,Y,Glide,I,Follow,5
PYO,P,Plosive,Y,Glide,O,Follow,5
PYU,P,Plosive,Y,Glide,U,Follow,5
PWA,P,Plosive,W,Glide,A,Follow,5
PWE,P,Plosive,W,Glide,E,Follow,5
PWI,P,Plosive,W,Glide,I,Follow,5
PWO,P,Plosive,W,Glide,O,Follow,5
PWU,P,Plosive,W,Glide,U,Follow,5
BPA,B,Plosive,P,Plosive,A,Follow,0
BPE,B,Plosive,P,Plosive,E,Follow,0
BPI,B,Plosive,P,Plosive,I,Follow,0
BPO,B,Plosive,P,Plosive,O,Follow,0
BPU,B,Plosive,P,Plosive,U,Follow,0
BTA,B,Plosive,T,Plosive,A,Follow,0
BTE,B,Plosive,T,Plosive,E,Follow,0
BTI,B,Plosive,T,Plosive,I,Follow,0
BTO,B,Plosive,T,Plosive,O,Follow,0
BTU,B,Plosive,T,Plosive,U,Follow,0
BDA,B,Plosive,D,Plosive,A,Follow,0
BDE,B,Plosive,D,Plosive,E,Follow,0
BDI,B,Plosive,D,Plosive,I,Follow,0
BDO,B,Plosive,D,Plosive,O,Follow,0
BDU,B,Plosive,D,Plosive,U,Follow,0
BKA,B,Plosive,K,Plosive,A,Follow,0
BKE,B,Plosive,K,Plosive,E,Follow,0
BKI,B,Plosive,K,Plosive,I,Follow,0
BKO,B,Plosive,K,Plosive,O,Follow,0
BKU,B,Plosive,K,Plosive,U,Follow,0
BGA,B,Plosive,G,Plosive,A,Follow,0
BGE,B,Plosive,G,Plosive,E,Follow,0
BGI,B,Plosive,G,Plosive,I,Follow,0
BGO,B,Plosive,G,Plosive,O,Follow,0
BGU,B,Plosive,G,Plosive,U,Follow,0
BQA,B,Plosive,Q,Plosive,A,Follow,0
BQE,B,Plosive,Q,Plosive,E,Follow,0
BQI,B,Plosive,Q,Plosive,I,Follow,0
BQO,B,Plosive,Q,Plosive,O,Follow,0
BQU,B,Plosive,Q,Plosive,U,Follow,0
BFA,B,Plosive,F,Fricative,A,Follow,1
BFE,B,Plosive,F,Fricative,E,Follow,1
BFI,B,Plosive,F,Fricative,I,Follow,1
BFO,B,Plosive,F,Fricative,O,Follow,1
BFU,B,Plosive,F,Fricative,U,Follow,1
BVA,B,Plosive,V,Fricative,A,Follow,1
BVE,B,Plosive,V,Fricative,E,Follow,1
BVI,B,Plosive,V,Fricative,I,Follow,1
BVO,B,Plosive,V,Fricative,O,Follow,1
BVU,B,Plosive,V,Fricative,U,Follow,1
BTHA,B,Plosive,TH,Fricative,A,Follow,1
BTHE,B,Plosive,TH,Fricative,E,Follow,1
BTHI,B,Plosive,TH,Fricative,I,Follow,1
BTHO,B,Plosive,TH,Fricative,O,Follow,1
BTHU,B,Plosive,TH,Fricative,U,Follow,1
BDHA,B,Plosive,DH,Fricative,A,Follow,1
BDHE,B,Plosive,DH,Fricative,E,Follow,1
BDHI,B,Plosive,DH,Fricative,I,Follow,1
BDHO,B,Plosive,DH,Fricative,O,Follow,1
BDHU,B,Plosive,DH,Fricative,U,Follow,1
BSA,B,Plosive,S,Fricative,A,Follow,1
BSE,B,Plosive,S,Fricative,E,Follow,1
BSI,B,Plosive,S,Fricative,I,Follow,1
BSO,B,Plosive,S,Fricative,O,Follow,1
BSU,B,Plosive,S,Fricative,U,Follow,1
BZA,B,Plosive,Z,Fricative,A,Follow,1
BZE,B,Plosive,Z,Fricative,E,Follow,1
BZI,B,Plosive,Z,Fricative,I,Follow,1
BZO,B,Plosive,Z,Fricative,O,Follow,1
BZU,B,Plosive,Z,Fricative,U,Follow,1
BSHA,B,Plosive,SH,Fricative,A,Follow,1
BSHE,B,Plosive,SH,Fricative,E,Follow,1
BSHI,B,Plosive,SH,Fricative,I,Follow,1
BSHO,B,Plosive,SH,Fricative,O,Follow,1
BSHU,B,Plosive,SH,Fricative,U,Follow,1
BZHA,B,Plosive,ZH,Fricative,A,Follow,1
BZHE,B,Plosive,ZH,Fricative,E,Follow,1
BZHI,B,Plosive,ZH,Fricative,I,Follow,1
BZHO,B,Plosive,ZH,Fricative,O,Follow,1
BZHU,B,Plosive,ZH,Fricative,U,Follow,1
BHA,B,Plosive,H,Fricative,A,Follow,1
BHE,B,Plosive,H,Fricative,E,Follow,1
BHI,B,Plosive,H,Fricative,I,Follow,1
BHO,B,Plosive,H,Fricative,O,Follow,1
BHU,B,Plosive,H,Fricative,U,Follow,1
BCHA,B,Plosive,CH,Affricate,A,Follow,2
BCHE,B,Plosive,CH,Affricate,E,Follow,2
BCHI,B,Plosive,CH,Affricate,I,Follow,2
BCHO,B,Plosive,CH,Affricate,O,Follow,2
BCHU,B,Plosive,CH,Affricate,U,Follow,2
BJHA,B,Plosive,JH,Affricate,A,Follow,2
BJHE,B,Plosive,JH,Affricate,E,Follow,2
BJHI,B,Plosive,JH,Affricate,I,Follow,2
BJHO,B,Plosive,JH,Affricate,O,Follow,2
BJHU,B,Plosive,JH,Affricate,U,Follow,2
BMA,B,Plosive,M,Nasal,A,Follow,3
BME,B,Plosive,M,Nasal,E,Follow,3
BMI,B,Plosive,M,Nasal,I,Follow,3
BMO,B,Plosive,M,Nasal,O,Follow,3
BMU,B,Plosive,M,Nasal,U,Follow,3
BNA,B,Plosive,N,Nasal,A,Follow,3
BNE,B,Plosive,N,Nasal,E,Follow,3
BNI,B,Plosive,N,Nasal,I,Follow,3
BNO,B,Plosive,N,Nasal,O,Follow,3
BNU,B,Plosive,N,Nasal,U,Follow,3
BNGA,B,Plosive,NG,Nasal,A,Follow,3
BNGE,B,Plosive,NG,Nasal,E,Follow,3
BNGI,B,Plosive,NG,Nasal,I,Follow,3
BNGO,B,Plosive,NG,Nasal,O,Follow,3
BNGU,B,Plosive,NG,Nasal,U,Follow,3
BLA,B,Plosive,L,Liquid,A,Follow,4
BLE,B,Plosive,L,Liquid,E,Follow,4
BLI,B,Plosive,L,Liquid,I,Follow,4
BLO,B,Plosive,L,Liquid,O,Follow,4
BLU,B,Plosive,L,Liquid,U,Follow,4
BRA,B,Plosive,R,Liquid,A,Follow,4
BRE,B,Plosive,R,Liquid,E,Follow,4
BRI,B,Plosive,R,Liquid,I,Follow,4
BRO,B,Plosive,R,Liquid,O,Follow,4
BRU,B,Plosive,R,Liquid,U,Follow,4
BYA,B,Plosive,Y,Glide,A,Follow,5
BYE,B,Plosive,Y,Glide,E,Follow,5
BYI,B,Plosive,Y,Glide,I,Follow,5
BYO,B,Plosive,Y,Glide,O,Follow,5
BYU,B,Plosive,Y,Glide,U,Follow,5
BWA,B,Plosive,W,Glide,A,Follow,5
BWE,B,Plosive,W,Glide,E,Follow,5
BWI,B,Plosive,W,Glide,I,Follow,5
BWO,B,Plosive,W,Glide,O,Follow,5
BWU,B,Plosive,W,Glide,U,Follow,5
TPA,T,Plosive,P,Plosive,A,Follow,0
TPE,T,Plosive,P,Plosive,E,Follow,0
TPI,T,Plosive,P,Plosive,I,Follow,0
TPO,T,Plosive,P,Plosive,O,Follow,0
TPU,T,Plosive,P,Plosive,U,Follow,0
TBA,T,Plosive,B,Plosive,A,Follow,0
TBE,T,Plosive,B,Plosive,E,Follow,0
TBI,T,Plosive,B,Plosive,I,Follow,0
TBO,T,Plosive,B,Plosive,O,Follow,0
TBU,T,Plosive,B,Plosive,U,Follow,0
TDA,T,Plosive,D,Plosive,A,Follow,0
TDE,T,Plosive,D,Plosive,E,Follow,0
TDI,T,Plosive,D,Plosive,I,Follow,0
TDO,T,Plosive,D,Plosive,O,Follow,0
TDU,T,Plosive,D,Plosive,U,Follow,0
TKA,T,Plosive,K,Plosive,A,Follow,0
TKE,T,Plosive,K,Plosive,E,Follow,0
TKI,T,Plosive,K,Plosive,I,Follow,0
TKO,T,Plosive,K,Plosive,O,Follow,0
TKU,T,Plosive,K,Plosive,U,Follow,0
TGA,T,Plosive,G,Plosive,A,Follow,0
TGE,T,Plosive,G,Plosive,E,Follow,0
TGI,T,Plosive,G,Plosive,I,Follow,0
TGO,T,Plosive,G,Plosive,O,Follow,0
TGU,T,Plosive,G,Plosive,U,Follow,0
TQA,T,Plosive,Q,Plosive,A,Follow,0
TQE,T,Plosive,Q,Plosive,E,Follow,0
TQI,T,Plosive,Q,Plosive,I,Follow,0
TQO,T,Plosive,Q,Plosive,O,Follow,0
TQU,T,Plosive,Q,Plosive,U,Follow,0
TFA,T,Plosive,F,Fricative,A,Follow,1
TFE,T,Plosive,F,Fricative,E,Follow,1
TFI,T,Plosive,F,Fricative,I,Follow,1
TFO,T,Plosive,F,Fricative,O,Follow,1
TFU,T,Plosive,F,Fricative,U,Follow,1
TVA,T,Plosive,V,Fricative,A,Follow,1
TVE,T,Plosive,V,Fricative,E,Follow,1
TVI,T,Plosive,V,Fricative,I,Follow,1
TVO,T,Plosive,V,Fricative,O,Follow,1
TVU,T,Plosive,V,Fricative,U,Follow,1
TTHA,T,Plosive,TH,Fricative,A,Follow,1
TTHE,T,Plosive,TH,Fricative,E,Follow,1
TTHI,T,Plosive,TH,Fricative,I,Follow,1
TTHO,T,Plosive,TH,Fricative,O,Follow,1
TTHU,T,Plosive,TH,Fricative,U,Follow,1
TDHA,T,Plosive,DH,Fricative,A,Follow,1
TDHE,T,Plosive,DH,Fricative,E,Follow,1
TDHI,T,Plosive,DH,Fricative,I,Follow,1
TDHO,T,Plosive,DH,Fricative,O,Follow,1
TDHU,T,Plosive,DH,Fricative,U,Follow,1
TSA,T,Plosive,S,Fricative,A,Follow,1
TSE,T,Plosive,S,Fricative,E,Follow,1
TSI,T,Plosive,S,Fricative,I,Follow,1
TSO,T,Plosive,S,Fricative,O,Follow,1
TSU,T,Plosive,S,Fricative,U,Follow,1
TZA,T,Plosive,Z,Fricative,A,Follow,1
TZE,T,Plosive,Z,Fricative,E,Follow,1
TZI,T,Plosive,Z,Fricative,I,Follow,1
TZO,T,Plosive,Z,Fricative,O,Follow,1
TZU,T,Plosive,Z,Fricative,U,Follow,1
TSHA,T,Plosive,SH,Fricative,A,Follow,1
TSHE,T,Plosive,SH,Fricative,E,Follow,1
TSHI,T,Plosive,SH,Fricative,I,Follow,1
TSHO,T,Plosive,SH,Fricative,O,Follow,1
TSHU,T,Plosive,SH,Fricative,U,Follow,1
TZHA,T,Plosive,ZH,Fricative,A,Follow,1
TZHE,T,Plosive,ZH,Fricative,E,Follow,1
TZHI,T,Plosive,ZH,Fricative,I,Follow,1
TZHO,T,Plosive,ZH,Fricative,O,Follow,1
TZHU,T,Plosive,ZH,Fricative,U,Follow,1
THA,T,Plosive,H,Fricative,A,Follow,1
THE,T,Plosive,H,Fricative,E,Follow,1
THI,T,Plosive,H,Fricative,I,Follow,1
THO,T,Plosive,H,Fricative,O,Follow,1
THU,T,Plosive,H,Fricative,U,Follow,1
TCHA,T,Plosive,CH,Affricate,A,Follow,2
TCHE,T,Plosive,CH,Affricate,E,Follow,2
TCHI,T,Plosive,CH,Affricate,I,Follow,2
TCHO,T,Plosive,CH,Affricate,O,Follow,2
TCHU,T,Plosive,CH,Affricate,U,Follow,2
TJHA,T,Plosive,JH,Affricate,A,Follow,2
TJHE,T,Plosive,JH,Affricate,E,Follow,2
TJHI,T,Plosive,JH,Affricate,I,Follow,2
TJHO,T,Plosive,JH,Affricate,O,Follow,2
TJHU,T,Plosive,JH,Affricate,U,Follow,2
TMA,T,Plosive,M,Nasal,A,Follow,3
TME,T,Plosive,M,Nasal,E,Follow,3
TMI,T,Plosive,M,Nasal,I,Follow,3
TMO,T,Plosive,M,Nasal,O,Follow,3
TMU,T,Plosive,M,Nasal,U,Follow,3
TNA,T,Plosive,N,Nasal,A,Follow,3
TNE,T,Plosive,N,Nasal,E,Follow,3
TNI,T,Plosive,N,Nasal,I,Follow,3
TNO,T,Plosive,N,Nasal,O,Follow,3
TNU,T,Plosive,N,Nasal,U,Follow,3
TNGA,T,Plosive,NG,Nasal,A,Follow,3
TNGE,T,Plosive,NG,Nasal,E,Follow,3
TNGI,T,Plosive,NG,Nasal,I,Follow,3
TNGO,T,Plosive,NG,Nasal,O,Follow,3
TNGU,T,Plosive,NG,Nasal,U,Follow,3
TLA,T,Plosive,L,Liquid,A,Follow,4
TLE,T,Plosive,L,Liquid,E,Follow,4
TLI,T,Plosive,L,Liquid,I,Follow,4
TLO,T,Plosive,L,Liquid,O,Follow,4
TLU,T,Plosive,L,Liquid,U,Follow,4
TRA,T,Plosive,R,Liquid,A,Follow,4
TRE,T,Plosive,R,Liquid,E,Follow,4
TRI,T,Plosive,R,Liquid,I,Follow,4
TRO,T,Plosive,R,Liquid,O,Follow,4
TRU,T,Plosive,R,Liquid,U,Follow,4
TYA,T,Plosive,Y,Glide,A,Follow,5
TYE,T,Plosive,Y,Glide,E,Follow,5
TYI,T,Plosive,Y,Glide,I,Follow,5
TYO,T,Plosive,Y,Glide,O,Follow,5
TYU,T,Plosive,Y,Glide,U,Follow,5
TWA,T,Plosive,W,Glide,A,Follow,5
TWE,T,Plosive,W,Glide,E,Follow,5
TWI,T,Plosive,W,Glide,I,Follow,5
TWO,T,Plosive,W,Glide,O,Follow,5
TWU,T,Plosive,W,Glide,U,Follow,5
DPA,D,Plosive,P,Plosive,A,Follow,0
DPE,D,Plosive,P,Plosive,E,Follow,0
DPI,D,Plosive,P,Plosive,I,Follow,0
DPO,D,Plosive,P,Plosive,O,Follow,0
DPU,D,Plosive,P,Plosive,U,Follow,0
DBA,D,Plosive,B,Plosive,A,Follow,0
DBE,D,Plosive,B,Plosive,E,Follow,0
DBI,D,Plosive,B,Plosive,I,Follow,0
DBO,D,Plosive,B,Plosive,O,Follow,0
DBU,D,Plosive,B,Plosive,U,Follow,0
DTA,D,Plosive,T,Plosive,A,Follow,0
DTE,D,Plosive,T,Plosive,E,Follow,0
DTI,D,Plosive,T,Plosive,I,Follow,0
DTO,D,Plosive,T,Plosive,O,Follow,0
DTU,D,Plosive,T,Plosive,U,Follow,0
DKA,D,Plosive,K,Plosive,A,Follow,0
DKE,D,Plosive,K,Plosive,E,Follow,0
DKI,D,Plosive,K,Plosive,I,Follow,0
DKO,D,Plosive,K,Plosive,O,Follow,0
DKU,D,Plosive,K,Plosive,U,Follow,0
DGA,D,Plosive,G,Plosive,A,Follow,0
DGE,D,Plosive,G,Plosive,E,Follow,0
DGI,D,Plosive,G,Plosive,I,Follow,0
DGO,D,Plosive,G,Plosive,O,Follow,0
DGU,D,Plosive,G,Plosive,U,Follow,0
DQA,D,Plosive,Q,Plosive,A,Follow,0
DQE,D,Plosive,Q,Plosive,E,Follow,0
DQI,D,Plosive,Q,Plosive,I,Follow,0
DQO,D,Plosive,Q,Plosive,O,Follow,0
DQU,D,Plosive,Q,Plosive,U,Follow,0
DFA,D,Plosive,F,Fricative,A,Follow,1
DFE,D,Plosive,F,Fricative,E,Follow,1
DFI,D,Plosive,F,Fricative,I,Follow,1
DFO,D,Plosive,F,Fricative,O,Follow,1
DFU,D,Plosive,F,Fricative,U,Follow,1
DVA,D,Plosive,V,Fricative,A,Follow,1
DVE,D,Plosive,V,Fricative,E,Follow,1
DVI,D,Plosive,V,Fricative,I,Follow,1
DVO,D,Plosive,V,Fricative,O,Follow,1
DVU,D,Plosive,V,Fricative,U,Follow,1
DTHA,D,Plosive,TH,Fricative,A,Follow,1
DTHE,D,Plosive,TH,Fricative,E,Follow,1
DTHI,D,Plosive,TH,Fricative,I,Follow,1
DTHO,D,Plosive,TH,Fricative,O,Follow,1
DTHU,D,Plosive,TH,Fricative,U,Follow,1
DDHA,D,Plosive,DH,Fricative,A,Follow,1
DDHE,D,Plosive,DH,Fricative,E,Follow,1
DDHI,D,Plosive,DH,Fricative,I,Follow,1
DDHO,D,Plosive,DH,Fricative,O,Follow,1
DDHU,D,Plosive,DH,Fricative,U,Follow,1
DSA,D,Plosive,S,Fricative,A,Follow,1
DSE,D,Plosive,S,Fricative,E,Follow,1
DSI,D,Plosive,S,Fricative,I,Follow,1
DSO,D,Plosive,S,Fricative,O,Follow,1
DSU,D,Plosive,S,Fricative,U,Follow,1
DZA,D,Plosive,Z,Fricative,A,Follow,1
DZE,D,Plosive,Z,Fricative,E,Follow,1
DZI,D,Plosive,Z,Fricative,I,Follow,1
DZO,D,Plosive,Z,Fricative,O,Follow,1
DZU,D,Plosive,Z,Fricative,U,Follow,1
DSHA,D,Plosive,SH,Fricative,A,Follow,1
DSHE,D,Plosive,SH,Fricative,E,Follow,1
DSHI,D,Plosive,SH,Fricative,I,Follow,1
DSHO,D,Plosive,SH,Fricative,O,Follow,1
DSHU,D,Plosive,SH,Fricative,U,Follow,1
DZHA,D,Plosive,ZH,Fricative,A,Follow,1
DZHE,D,Plosive,ZH,Fricative,E,Follow,1
DZHI,D,Plosive,ZH,Fricative,I,Follow,1
DZHO,D,Plosive,ZH,Fricative,O,Follow,1
DZHU,D,Plosive,ZH,Fricative,U,Follow,1
DHA,D,Plosive,H,Fricative,A,Follow,1
DHE,D,Plosive,H,Fricative,E,Follow,1
DHI,D,Plosive,H,Fricative,I,Follow,1
DHO,D,Plosive,H,Fricative,O,Follow,1
DHU,D,Plosive,H,Fricative,U,Follow,1
DCHA,D,Plosive,CH,Affricate,A,Follow,2
DCHE,D,Plosive,CH,Affricate,E,Follow,2
DCHI,D,Plosive,CH,Affricate,I,Follow,2
DCHO,D,Plosive,CH,Affricate,O,Follow,2
DCHU,D,Plosive,CH,Affricate,U,Follow,2
DJHA,D,Plosive,JH,Affricate,A,Follow,2
DJHE,D,Plosive,JH,Affricate,E,Follow,2
DJHI,D,Plosive,JH,Affricate,I,Follow,2
DJHO,D,Plosive,JH,Affricate,O,Follow,2
DJHU,D,Plosive,JH,Affricate,U,Follow,2
DMA,D,Plosive,M,Nasal,A,Follow,3
DME,D,Plosive,M,Nasal,E,Follow,3
DMI,D,Plosive,M,Nasal,I,Follow,3
DMO,D,Plosive,M,Nasal,O,Follow,3
DMU,D,Plosive,M,Nasal,U,Follow,3
DNA,D,Plosive,N,Nasal,A,Follow,3
DNE,D,Plosive,N,Nasal,E,Follow,3
DNI,D,Plosive,N,Nasal,I,Follow,3
DNO,D,Plosive,N,Nasal,O,Follow,3
DNU,D,Plosive,N,Nasal,U,Follow,3
DNGA,D,Plosive,NG,Nasal,A,Follow,3
DNGE,D,Plosive,NG,Nasal,E,Follow,3
DNGI,D,Plosive,NG,Nasal,I,Follow,3
DNGO,D,Plosive,NG,Nasal,O,Follow,3
DNGU,D,Plosive,NG,Nasal,U,Follow,3
DLA,D,Plosive,L,Liquid,A,Follow,4
DLE,D,Plosive,L,Liquid,E,Follow,4
DLI,D,Plosive,L,Liquid,I,Follow,4
DLO,D,Plosive,L,Liquid,O,Follow,4
DLU,D,Plosive,L,Liquid,U,Follow,4
DRA,D,Plosive,R,Liquid,A,Follow,4
DRE,D,Plosive,R,Liquid,E,Follow,4
DRI,D,Plosive,R,Liquid,I,Follow,4
DRO,D,Plosive,R,Liquid,O,Follow,4
DRU,D,Plosive,R,Liquid,U,Follow,4
DYA,D,Plosive,Y,Glide,A,Follow,5
DYE,D,Plosive,Y,Glide,E,Follow,5
DYI,D,Plosive,Y,Glide,I,Follow,5
DYO,D,Plosive,Y,Glide,O,Follow,5
DYU,D,Plosive,Y,Glide,U,Follow,5
DWA,D,Plosive,W,Glide,A,Follow,5
DWE,D,Plosive,W,Glide,E,Follow,5
DWI,D,Plosive,W,Glide,I,Follow,5
DWO,D,Plosive,W,Glide,O,Follow,5
DWU,D,Plosive,W,Glide,U,Follow,5
KPA,K,Plosive,P,Plosive,A,Follow,0
KPE,K,Plosive,P,Plosive,E,Follow,0
KPI,K,Plosive,P,Plosive,I,Follow,0
KPO,K,Plosive,P,Plosive,O,Follow,0
KPU,K,Plosive,P,Plosive,U,Follow,0
KBA,K,Plosive,B,Plosive,A,Follow,0
KBE,K,Plosive,B,Plosive,E,Follow,0
KBI,K,Plosive,B,Plosive,I,Follow,0
KBO,K,Plosive,B,Plosive,O,Follow,0
KBU,K,Plosive,B,Plosive,U,Follow,0
KTA,K,Plosive,T,Plosive,A,Follow,0
KTE,K,Plosive,T,Plosive,E,Follow,0
KTI,K,Plosive,T,Plosive,I,Follow,0
KTO,K,Plosive,T,Plosive,O,Follow,0
KTU,K,Plosive,T,Plosive,U,Follow,0
KDA,K,Plosive,D,Plosive,A,Follow,0
KDE,K,Plosive,D,Plosive,E,Follow,0
KDI,K,Plosive,D,Plosive,I,Follow,0
KDO,K,Plosive,D,Plosive,O,Follow,0
KDU,K,Plosive,D,Plosive,U,Follow,0
KGA,K,Plosive,G,Plosive,A,Follow,0
KGE,K,Plosive,G,Plosive,E,Follow,0
KGI,K,Plosive,G,Plosive,I,Follow,0
KGO,K,Plosive,G,Plosive,O,Follow,0
KGU,K,Plosive,G,Plosive,U,Follow,0
KQA,K,Plosive,Q,Plosive,A,Follow,0
KQE,K,Plosive,Q,Plosive,E,Follow,0
KQI,K,Plosive,Q,Plosive,I,Follow,0
KQO,K,Plosive,Q,Plosive,O,Follow,0
KQU,K,Plosive,Q,Plosive,U,Follow,0
KFA,K,Plosive,F,Fricative,A,Follow,1
KFE,K,Plosive,F,Fricative,E,Follow,1
KFI,K,Plosive,F,Fricative,I,Follow,1
KFO,K,Plosive,F,Fricative,O,Follow,1
KFU,K,Plosive,F,Fricative,U,Follow,1
KVA,K,Plosive,V,Fricative,A,Follow,1
KVE,K,Plosive,V,Fricative,E,Follow,1
KVI,K,Plosive,V,Fricative,I,Follow,1
KVO,K,Plosive,V,Fricative,O,Follow,1
KVU,K,Plosive,V,Fricative,U,Follow,1
KTHA,K,Plosive,TH,Fricative,A,Follow,1
KTHE,K,Plosive,TH,Fricative,E,Follow,1
KTHI,K,Plosive,TH,Fricative,I,Follow,1
KTHO,K,Plosive,TH,Fricative,O,Follow,1
